,prm,res
174,"[0.266, 0.307, 0.339, -0.459, -0.8, 3999.0, 2154.0, 2.399999999999999, 1.6, 0.672]",26950.73728191379
175,"[1.677, 0.307, 1.242, -0.035999999999999005, -0.8, 4732.0, 1619.0, 0.79, 4.95, 0.6039999999999991]",79683.54421732332
176,"[1.413, 0.307, 1.022999999999999, 0.40999999999999903, -0.8, 4452.0, 1954.0, 4.639999999999999, 2.669999999999999, 0.652]",357166.97419225506
177,"[2.504, 0.307, 2.068, 0.14, -0.8, 3220.0, 2619.0, 1.34, 1.32, 0.5959999999999991]",123342.22411027898
178,"[0.8689999999999991, 0.307, 1.373, 0.664, -0.8, 3463.0, 2304.0, 4.99, 7.91, 0.5659999999999991]",89164.41677597168
179,"[-0.042999999999999004, 0.307, 1.385999999999999, 0.255, -0.8, 4357.0, 1244.0, 6.599999999999999, 7.69, 0.544]",33727.26528370651
180,"[1.673999999999999, 0.307, 0.439, 0.6889999999999991, -0.8, 4182.0, 1457.0, 5.889999999999999, 1.669999999999999, 0.631]",165663.61514403098
181,"[1.536999999999999, 0.307, -0.5689999999999991, -0.277, -0.8, 3501.0, 2111.0, 0.55, 8.21, 0.548]",32415.476432408956
182,"[0.6909999999999991, 0.307, 0.20999999999999902, 0.034, -0.8, 4793.0, 1701.0, 1.169999999999999, 4.059999999999999, 0.6129999999999991]",61449.358869593154
183,"[-0.010999999999999, 0.307, 2.822, -0.050999999999999004, -0.8, 4660.0, 2002.0, 3.93, 2.66, 0.653]",268806.3744990569
184,"[0.35899999999999904, 0.307, 0.14699999999999902, 0.35299999999999904, -0.8, 4368.0, 1042.0, 6.379999999999999, 8.08, 0.544]",29540.12477418783
185,"[0.638, 0.307, 2.101, 0.504, -0.8, 3972.0, 1930.0, 7.629999999999999, 6.16, 0.533]",60631.845088960064
186,"[0.8820000000000001, 0.307, 1.659, 0.391, -0.8, 4040.0, 1950.0, 6.929999999999999, 5.58, 0.527]",96632.69273861834
